Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Year_as_date
Band Hero,WII,Activision,Vicarious Visions,7.4,,0.97,2009,Misc,0.6,0.3,0.0,0.09,0.99,2009-01-01
Cars,DS,Thq,Helixe,5.8,,0.97,2006,Racing,0.85,0.05,0.0,0.08,0.98,2006-01-01
South Park: The Stick Of Truth,PS3,Ubisoft,Obsidian Entertainment,9.0,,0.97,2014,Role-Playing,0.42,0.38,0.0,0.17,0.98,2014-01-01
Skylanders: Spyro'S Adventure,X360,Activision,Toys for Bob,7.44,,0.97,2011,Action,0.53,0.35,0.0,0.1,0.97,2011-01-01
Lego Star Wars Ii: The Original Trilogy,GC,Lucasarts,Traveller's Tales,8.4,,0.97,2006,Action,0.75,0.19,0.0,0.03,0.97,2006-01-01
Medal Of Honor: Underground,PS,Electronic Arts,DreamWorks Interactive,6.34,,0.97,2000,Shooter,0.54,0.37,0.0,0.06,0.97,2000-01-01
Kingdoms Of Amalur: Reckoning,PC,Electronic Arts,38 Studios,9.0,6.7,0.96,2012,Role-Playing,0.14,0.13,0.0,0.04,0.31,2012-01-01
Guitar Hero: Warriors Of Rock,WII,Activision,Vicarious Visions,7.300000000000001,,0.96,2010,Misc,0.48,0.44,0.0,0.09,1.01,2010-01-01
Jampack Summer '99,PS,Sony Computer Entertainment,Sony Computer Entertainment America,7.100000000000001,,0.96,1999,Misc,0.54,0.36,0.0,0.06,0.96,1999-01-01
Tom Clancy'S Ghost Recon: Future Soldier,PS3,Ubisoft,Ubisoft Paris,8.5,,0.96,2012,Shooter,0.41,0.33,0.09,0.12,0.96,2012-01-01
Star Fox 64 3D,3DS,Nintendo,Nintendo EAD,8.0,8.1,0.96,2011,Shooter,0.48,0.27,0.13,0.07,0.94,2011-01-01
Lego Pirates Of The Caribbean: The Video Game,PS3,Disney Interactive Studios,Traveller's Tales,7.4,,0.96,2011,Action,0.36,0.46,0.0,0.17,0.99,2011-01-01
De Blob,WII,Thq,Blue Tongue,8.1,8.0,0.96,2008,Platform,0.5,0.37,0.0,0.1,0.97,2008-01-01
Mass Effect 3,PC,Electronic Arts,BioWare,9.5,5.8,0.96,2012,Role-Playing,0.4,0.44,0.0,0.13,0.97,2012-01-01
Pilotwings Resort,3DS,Nintendo,Monster Games,6.900000000000002,,0.96,2011,Simulation,0.4,0.36,0.13,0.07,0.96,2011-01-01
Dragon Quest Monsters: Terry'S Wonderland 3D,3DS,Square Enix,Square Enix,7.560000000000001,,0.96,2012,Role-Playing,0.0,0.0,0.96,0.0,0.96,2012-01-01
My Weight Loss Coach,DS,Ubisoft,Ubisoft Montreal,6.999999999999999,,0.96,2008,Sports,0.3,0.54,0.0,0.11,0.96,2008-01-01
Mlb 16: The Show,PS4,Sony Computer Entertainment,SCE San Diego Studio,7.94,,0.96,2016,Action,0.68,0.0,0.0,0.16,0.84,2016-01-01
Gangs Of London,PSP,Sony Computer Entertainment,SCEE London Studio,5.000000000000001,,0.96,2006,Adventure,0.3,0.44,0.0,0.22,0.96,2006-01-01
Mortal Kombat: Deadly Alliance,XB,Midway Games,Midway,8.6,,0.96,2002,Fighting,0.77,0.15,0.0,0.04,0.96,2002-01-01
South Park: The Stick Of Truth,X360,Ubisoft,Obsidian Entertainment,9.0,,0.96,2014,Role-Playing,0.57,0.3,0.0,0.08,0.95,2014-01-01
Club Penguin: Game Day!,WII,Disney Interactive Studios,Artoon,7.279999999999999,,0.96,2010,Sports,0.56,0.33,0.0,0.08,0.97,2010-01-01
Skylanders: Trap Team,WII,Activision,Toys for Bob,7.919999999999999,,0.95,2014,Action,0.42,0.54,0.0,0.08,1.05,2014-01-01
Sonic Unleashed,X360,Sega,Sonic Team,5.6000000000000005,,0.95,2008,Platform,0.54,0.33,0.0,0.09,0.96,2008-01-01
Tom Clancy'S Splinter Cell: Chaos Theory,PS2,Ubisoft,Ubisoft Montreal / Annecy,7.64,,0.95,2005,Action,0.36,0.45,0.0,0.14,0.95,2005-01-01
Spongebob Squarepants: Battle For Bikini Bottom,GC,Thq,Heavy Iron Studios,7.300000000000001,,0.95,2003,Platform,0.74,0.19,0.0,0.03,0.95,2003-01-01
Kessen,PS2,Electronic Arts,Koei,8.1,,0.95,2000,Strategy,0.27,0.21,0.41,0.07,0.95,2000-01-01
Red Steel,WII,Ubisoft,Ubisoft Paris,5.900000000000001,7.8,0.95,2006,Shooter,0.55,0.04,0.04,0.05,0.68,2006-01-01
Lost Planet 2,PS3,Capcom,Capcom,6.6000000000000005,,0.95,2010,Shooter,0.29,0.34,0.2,0.13,0.96,2010-01-01
Driver: San Francisco,PS3,Ubisoft,Ubisoft Reflections,8.2,,0.95,2011,Racing,0.24,0.54,0.01,0.18,0.98,2011-01-01
Wipeout: In The Zone,X360,Activision,Activision,7.58,,0.95,2011,Misc,0.87,0.0,0.0,0.05,0.92,2011-01-01
Lego Batman 3: Beyond Gotham,PS4,Warner Bros. Interactive Entertainment,Traveller's Tales,7.12,,0.94,2014,Action,0.37,0.39,0.0,0.15,0.92,2014-01-01
Killzone,PS2,Sony Computer Entertainment,Guerrilla Games,6.8,,0.94,2004,Shooter,0.79,0.03,0.0,0.13,0.94,2004-01-01
Colin Mcrae Rally 04,PS2,Codemasters,Codemasters,7.379999999999999,,0.94,2003,Racing,0.01,0.71,0.01,0.21,0.94,2003-01-01
The Spongebob Squarepants Movie,GC,Thq,Heavy Iron Studios,6.6000000000000005,,0.94,2004,Platform,0.73,0.19,0.0,0.03,0.94,2004-01-01
Skylanders: Spyro'S Adventure,PS3,Activision,Toys for Bob,8.0,,0.94,2011,Action,0.39,0.4,0.0,0.16,0.95,2011-01-01
Brutal Legend,PS3,Electronic Arts,Double Fine Productions,7.9,,0.94,2009,Action,0.54,0.28,0.0,0.13,0.95,2009-01-01
Wwe Smackdown Vs. Raw 2009,PS3,Thq,Yuke's Media Creations,6.379999999999998,,0.94,2008,Fighting,0.51,0.31,0.01,0.13,0.95,2008-01-01
Destroy All Humans!,PS2,Thq,Pandemic Studios,6.999999999999999,,0.94,2005,Shooter,0.78,0.03,0.0,0.13,0.94,2005-01-01
Tony Hawk: Ride,WII,Activision,Buzz Monkey Software,4.3,,0.94,2009,Sports,0.7,0.17,0.0,0.08,0.95,2009-01-01
Lego Batman 3: Beyond Gotham,X360,Warner Bros. Interactive Entertainment,Traveller's Tales,8.18,,0.94,2014,Action,0.48,0.38,0.0,0.08,0.95,2014-01-01
Mlb 2000,PS,Sony Computer Entertainment,989 Sports,8.9,,0.94,1999,Sports,0.52,0.35,0.0,0.06,0.94,1999-01-01
Ea Sports Active 2,PS3,Electronic Arts,EA Vancouver,8.0,,0.94,2010,Sports,0.52,0.28,0.0,0.12,0.92,2010-01-01
The Sims 2,DS,Electronic Arts,Maxis,8.2,,0.94,2005,Simulation,0.82,0.07,0.0,0.07,0.96,2005-01-01
Prince Of Persia: The Sands Of Time,XB,Ubisoft,Ubisoft Montreal,9.0,,0.94,2003,Action,0.57,0.33,0.0,0.04,0.94,2003-01-01
Mlb 06: The Show,PS2,Sony Computer Entertainment,SCEA San Diego Studios,8.0,,0.94,2006,Sports,0.78,0.03,0.0,0.13,0.94,2006-01-01
Sniper: Ghost Warrior,PC,City Interactive,City Interactive,5.4,,0.93,2010,Shooter,0.0,0.13,0.0,0.03,0.16,2010-01-01
Singstar Abba,PS3,Sony Computer Entertainment,SCEE London Studio,7.22,,0.93,2008,Misc,0.27,0.51,0.0,0.17,0.95,2008-01-01
Mlb 12: The Show,PS3,Sony Computer Entertainment,SCE San Diego Studio,8.5,,0.93,2012,Sports,0.86,0.0,0.0,0.06,0.92,2012-01-01
Tony Hawk'S Pro Skater 4,XB,Activision,Neversoft Entertainment,9.0,,0.93,2002,Sports,0.59,0.3,0.0,0.04,0.93,2002-01-01
Guitar Hero: Metallica,WII,Activision,BudCat Creations,8.9,,0.93,2009,Misc,0.41,0.43,0.0,0.1,0.95,2009-01-01
Monster High: Ghoul Spirit,DS,Thq,THQ,6.499999999999999,,0.93,2011,Misc,0.72,0.17,0.0,0.07,0.96,2011-01-01
Toy Story 2: Buzz Lightyear To The Rescue!,N64,Activision,Traveller's Tales,7.48,,0.93,1999,Platform,0.71,0.2,0.0,0.01,0.93,1999-01-01
Build-A-Bear Workshop,DS,Game Factory,Neko Entertainment,6.16,,0.93,2007,Simulation,0.85,0.01,0.0,0.07,0.93,2007-01-01
Mlb 07: The Show,PS2,Sony Computer Entertainment,SCE San Diego Studio,8.5,,0.93,2007,Sports,0.77,0.03,0.0,0.13,0.93,2007-01-01
Cars,GC,Thq,Rainbow Studios,7.6,,0.93,2006,Racing,0.72,0.19,0.0,0.03,0.93,2006-01-01
Operation Flashpoint: Dragon Rising,X360,Codemasters,Codemasters,7.4,,0.93,2009,Shooter,0.36,0.45,0.02,0.1,0.93,2009-01-01
Lego The Lord Of The Rings,WII,Warner Bros. Interactive Entertainment,Unknown,7.6,,0.93,2012,Action,0.52,0.37,0.0,0.08,0.97,2012-01-01
Phoenix Wright: Ace Attorney,DS,Capcom,Capcom,8.1,,0.93,2005,Adventure,0.49,0.07,0.39,0.05,0.99,2005-01-01
Top Gun: Combat Zones,PS2,Titus,Digital Integration,5.900000000000001,,0.92,2001,Simulation,0.45,0.35,0.0,0.12,0.92,2001-01-01
Cars,WII,Thq,Rainbow Studios,6.8,,0.92,2006,Racing,0.83,0.04,0.0,0.07,0.94,2006-01-01
007: The World Is Not Enough,PS,Electronic Arts,Black Ops Entertainment,6.400000000000001,,0.92,2000,Action,0.51,0.35,0.0,0.06,0.92,2000-01-01
Dante'S Inferno,X360,Electronic Arts,Visceral Games,6.999999999999999,,0.92,2010,Action,0.63,0.2,0.02,0.07,0.92,2010-01-01
Space Jam,PS,Acclaim Entertainment,Sculptured Software,6.58,,0.92,1996,Sports,0.51,0.35,0.0,0.06,0.92,1996-01-01
Spongebob Squarepants: The Yellow Avenger,PSP,Thq,Tantalus Interactive,5.7,,0.92,2006,Action,0.55,0.21,0.0,0.16,0.92,2006-01-01
Far Cry 3,PC,Ubisoft,Ubisoft Montreal,9.0,8.3,0.92,2012,Shooter,0.21,0.62,0.0,0.14,0.98,2012-01-01
Wwe Smackdown Vs. Raw 2009,X360,Thq,Yuke's Media Creations,7.800000000000001,,0.92,2008,Fighting,0.58,0.26,0.0,0.08,0.92,2008-01-01
Crysis 3,X360,Electronic Arts,Crytek,7.6,,0.92,2013,Shooter,0.51,0.33,0.01,0.08,0.92,2013-01-01
Farming Simulator 2015,PC,Focus Home Interactive,Giants Software,7.419999999999999,,0.92,2014,Simulation,0.08,1.02,0.0,0.13,1.23,2014-01-01
Sonic Riders,GC,Sega,Sonic Team,6.2,,0.92,2006,Racing,0.71,0.18,0.0,0.03,0.92,2006-01-01
Tobal No.1,PS,Sony Computer Entertainment,DreamFactory,7.700000000000001,,0.92,1996,Fighting,0.12,0.08,0.66,0.06,0.92,1996-01-01
Kung Fu Panda,WII,Activision,XPEC,7.5,,0.92,2008,Action,0.5,0.32,0.0,0.09,0.92,2008-01-01
Dynasty Warriors 7,PS3,Tecmo Koei,Omega Force,5.8,,0.91,2011,Action,0.25,0.14,0.46,0.06,0.92,2011-01-01
Street Hoops,PS2,Activision,Black Ops Entertainment,6.7,,0.91,2002,Sports,0.45,0.35,0.0,0.12,0.91,2002-01-01
Crysis 3,PS3,Electronic Arts,Crytek,8.2,,0.91,2013,Shooter,0.26,0.43,0.03,0.18,0.9,2013-01-01
Tom Clancy'S Endwar,X360,Ubisoft,Ubisoft Shanghai,8.0,,0.91,2008,Strategy,0.58,0.24,0.01,0.09,0.91,2008-01-01
Sonic Riders: Zero Gravity,WII,Sega,Sonic Team,5.8,,0.91,2008,Racing,0.5,0.32,0.02,0.1,0.93,2008-01-01
Colin Mcrae Rally 2.0,PS,Codemasters,Codemasters,8.3,,0.91,2000,Racing,0.02,0.8,0.02,0.07,0.91,2000-01-01
Glover,N64,Hasbro Interactive,Interactive Studios Ltd.,8.3,,0.91,1998,Platform,0.72,0.17,0.0,0.01,0.91,1998-01-01
Lego Pirates Of The Caribbean: The Video Game,DS,Disney Interactive Studios,Traveller's Tales,6.8,,0.91,2011,Action,0.37,0.49,0.0,0.1,0.96,2011-01-01
Skylanders: Trap Team,X360,Activision,Toys for Bob,8.34,,0.91,2014,Action,0.54,0.31,0.0,0.08,0.93,2014-01-01
Super Momotarou Dentetsu Iii,SNES,Hudson Soft,Hudson Soft,7.919999999999999,,0.91,1994,Simulation,0.0,0.0,0.91,0.0,0.91,1994-01-01
Sonic Mega Collection Plus,XB,Sega,Sonic Team,7.800000000000001,,0.91,2004,Misc,0.61,0.26,0.0,0.04,0.91,2004-01-01
Operation Flashpoint: Dragon Rising,PS3,Codemasters,Codemasters,7.300000000000001,,0.91,2009,Shooter,0.23,0.46,0.05,0.17,0.92,2009-01-01
Assassin'S Creed,PC,Ubisoft,Ubisoft Montreal,7.6,,0.91,2008,Adventure,0.01,0.83,0.0,0.08,0.92,2008-01-01
Homefront,PS3,Thq,Kaos Studios,6.6000000000000005,,0.9,2011,Shooter,0.32,0.4,0.04,0.15,0.91,2011-01-01
Dj Hero,PS3,Activision,FreeStyleGames,8.5,,0.9,2009,Misc,0.42,0.34,0.0,0.14,0.91,2009-01-01
Marvel: Ultimate Alliance 2,X360,Activision,Vicarious Visions,7.4,,0.9,2009,Role-Playing,0.68,0.15,0.0,0.08,0.91,2009-01-01
Cars 2,WII,Disney Interactive Studios,Avalanche Software,8.0,,0.9,2011,Racing,0.46,0.39,0.0,0.1,0.95,2011-01-01
Mini-Yonku Shining Scorpion: Let'S & Go!!,SNES,Ascii Entertainment,KID Corporation,8.18,,0.9,1996,Racing,0.0,0.0,0.9,0.0,0.9,1996-01-01
Mlb 2005,PS2,Sony Computer Entertainment,989 Sports,7.9,,0.9,2004,Sports,0.44,0.35,0.0,0.12,0.9,2004-01-01
Burnout Revenge,PS2,Electronic Arts,Criterion Games,9.0,,0.9,2005,Racing,0.75,0.03,0.0,0.12,0.9,2005-01-01
Socom 4: U.S. Navy Seals,PS3,Sony Computer Entertainment,Zipper Interactive,6.999999999999999,,0.9,2011,Shooter,0.66,0.12,0.04,0.08,0.9,2011-01-01
Destruction Derby,PS,Psygnosis,Reflections Interactive,6.999999999999999,,0.9,1995,Racing,0.5,0.34,0.0,0.06,0.9,1995-01-01
Killzone: Liberation,PSP,Sony Computer Entertainment,Guerrilla Games,7.800000000000001,,0.9,2006,Shooter,0.44,0.28,0.0,0.18,0.89,2006-01-01
The Biggest Loser: Ultimate Workout,X360,Thq,Blitz Games,8.0,,0.9,2010,Sports,0.73,0.1,0.0,0.06,0.9,2010-01-01
3Xtreme,PS,989 Studios,Unknown,2.9,,0.9,1999,Action,0.5,0.34,0.0,0.06,0.9,1999-01-01
Far Cry 4,X360,Ubisoft,Ubisoft Montreal,8.179999999999998,,0.9,2014,Shooter,0.45,0.44,0.0,0.08,0.98,2014-01-01
Resistance: Retribution,PSP,Sony Computer Entertainment,SCEA Bend Studio,8.0,7.6,0.9,2009,Shooter,0.27,0.36,0.05,0.22,0.9,2009-01-01
Spider-Man 3,PS2,Activision,Vicarious Visions,4.4,,0.9,2007,Platform,0.74,0.03,0.01,0.12,0.9,2007-01-01
James Bond 007: Agent Under Fire,XB,Electronic Arts,EA Redwood Shores,7.6,,0.9,2002,Shooter,0.65,0.22,0.0,0.03,0.9,2002-01-01
X-Men Legends,XB,Activision,Raven Software,8.2,,0.9,2004,Role-Playing,0.62,0.24,0.0,0.04,0.9,2004-01-01
Harry Potter: Quidditch World Cup,PS2,Electronic Arts,Electronic Arts,7.200000000000001,,0.9,2003,Sports,0.44,0.34,0.0,0.11,0.9,2003-01-01
Buzz! Master Quiz,PSP,Sony Computer Entertainment,Relentless Software,6.999999999999999,,0.9,2008,Misc,0.2,0.44,0.0,0.23,0.87,2008-01-01
Madagascar,GBA,Activision,Vicarious Visions,5.5,,0.89,2005,Platform,0.62,0.24,0.0,0.03,0.89,2005-01-01
God Of War Saga,PS3,Sony Computer Entertainment,SCEA Santa Monica Studio,7.519999999999999,,0.89,2012,Action,0.72,0.0,0.0,0.06,0.78,2012-01-01
Minecraft: Story Mode,PS3,Mojang,Telltale Games,7.159999999999998,,0.89,2015,Adventure,0.25,0.33,0.0,0.11,0.69,2015-01-01
Touchmaster 2,DS,Midway Games,Midway Studios San Diego,7.5,,0.89,2008,Puzzle,0.3,0.49,0.0,0.1,0.9,2008-01-01
Pure,PS3,Disney Interactive Studios,Black Rock Studio,6.999999999999999,,0.89,2008,Racing,0.42,0.33,0.0,0.14,0.9,2008-01-01
Classic Nes Series: The Legend Of Zelda,GBA,Nintendo,Nintendo,7.559999999999999,,0.89,2004,Adventure,0.46,0.17,0.24,0.02,0.89,2004-01-01
Classic Nes Series: The Legend Of Zelda,GBA,Nintendo,Nintendo EAD,8.4,,0.24,2004,Adventure,0.46,0.17,0.24,0.02,0.89,2004-01-01
Finding Nemo,GC,Thq,Traveller's Tales,6.000000000000001,,0.89,2003,Action,0.69,0.18,0.0,0.02,0.89,2003-01-01
Dissidia 012: Duodecim Final Fantasy,PSP,Square Enix,Square Enix,8.3,,0.89,2011,Fighting,0.21,0.13,0.46,0.08,0.89,2011-01-01
Nfl 2K2,PS2,Sega,Visual Concepts,9.0,,0.89,2001,Sports,0.44,0.34,0.0,0.11,0.89,2001-01-01
Resident Evil: Revelations,3DS,Capcom,Capcom,7.800000000000001,8.4,0.89,2012,Action,0.3,0.22,0.3,0.05,0.88,2012-01-01
Call Of Duty: World At War,DS,Activision,n-Space,7.4,,0.89,2008,Shooter,0.57,0.26,0.0,0.08,0.91,2008-01-01
Csi: Hard Evidence,WII,Ubisoft,Telltale Games,7.459999999999999,,0.89,2008,Adventure,0.36,0.43,0.0,0.1,0.89,2008-01-01
The Tomb Raider Trilogy,PS3,Square Enix,Crystal Dynamics,8.5,,0.89,2011,Action,0.27,0.5,0.0,0.17,0.94,2011-01-01
Assassin'S Creed Iii,PC,Ubisoft,Ubisoft Montreal,8.6,6.3,0.89,2012,Action,0.28,0.53,0.0,0.13,0.94,2012-01-01
Fifa Soccer 09 All-Play,WII,Electronic Arts,EA Canada,7.200000000000001,,0.89,2008,Sports,0.29,0.52,0.0,0.09,0.9,2008-01-01
Samba De Amigo,WII,Sega,Gearbox Software,6.7,,0.89,2008,Misc,0.42,0.37,0.01,0.1,0.9,2008-01-01
Mlb 2001,PS,Sony Computer Entertainment,989 Sports,7.4,,0.89,2000,Sports,0.49,0.34,0.0,0.06,0.89,2000-01-01
The Simpsons Game,PS3,Electronic Arts,EA Redwood Shores,7.5,,0.89,2007,Action,0.38,0.37,0.0,0.15,0.91,2007-01-01
Singstar Anthems,PS2,Sony Computer Entertainment,SCEE London Studio,6.0600000000000005,,0.89,2006,Misc,0.0,0.68,0.0,0.2,0.89,2006-01-01
Buzz! Quiz Tv,PS3,Sony Computer Entertainment,Relentless Software,7.9,,0.88,2008,Misc,0.28,0.48,0.0,0.14,0.9,2008-01-01
F1 2010,X360,Codemasters,Codemasters Birmingham,8.4,,0.88,2010,Racing,0.18,0.59,0.01,0.1,0.89,2010-01-01
Call Of Juarez: Bound In Blood,PS3,Ubisoft,Techland,7.700000000000001,,0.88,2009,Shooter,0.35,0.38,0.01,0.16,0.89,2009-01-01
Star Wars: The Force Unleashed,DS,Lucasarts,n-Space,6.999999999999999,,0.88,2008,Action,0.51,0.29,0.0,0.09,0.9,2008-01-01
Call Of Duty: Modern Warfare 2,PC,Activision,Infinity Ward,9.0,,0.88,2009,Shooter,0.01,0.79,0.0,0.09,0.89,2009-01-01
Littlebigplanet Karting,PS3,Sony Computer Entertainment,United Front Games,5.000000000000001,,0.88,2012,Action,0.42,0.32,0.01,0.15,0.9,2012-01-01
Sonic Chronicles: The Dark Brotherhood,DS,Sega,BioWare Corp.,7.300000000000001,,0.88,2008,Role-Playing,0.51,0.29,0.01,0.09,0.89,2008-01-01
Buzz! The Mega Quiz,PS2,Sony Computer Entertainment,Relentless Software,8.0,,0.88,2007,Misc,0.32,0.06,0.0,0.5,0.88,2007-01-01
Rock Band 3,X360,Mtv Games,Harmonix Music Systems,9.4,,0.88,2010,Misc,0.73,0.1,0.0,0.06,0.88,2010-01-01
F1 2009,WII,Codemasters,Sumo Digital,6.8,,0.88,2009,Racing,0.15,0.63,0.0,0.11,0.89,2009-01-01
Wwe Smackdown Vs. Raw 2011,X360,Thq,JAKKS Pacific,7.099999999999999,,0.88,2010,Fighting,0.44,0.36,0.0,0.08,0.88,2010-01-01
Crimson Skies: High Road To Revenge,XB,Microsoft Game Studios,FASA Studio,9.1,,0.87,2003,Simulation,0.65,0.19,0.0,0.03,0.87,2003-01-01
Gex,PS,Crystal Dynamics,Crystal Dynamics,6.000000000000001,,0.87,1995,Platform,0.49,0.33,0.0,0.06,0.87,1995-01-01
Minecraft: Story Mode,PS4,Mojang,Telltale Games,7.16,,0.87,2015,Adventure,0.23,0.33,0.0,0.11,0.67,2015-01-01
Peppa Pig: The Game,DS,Pinnacle,Asylum Entertainment,8.179999999999998,,0.87,2008,Misc,0.0,0.82,0.0,0.06,0.88,2008-01-01
Michael Jackson: The Experience,X360,Ubisoft,Ubisoft Montreal,5.6000000000000005,,0.87,2011,Misc,0.62,0.2,0.0,0.07,0.88,2011-01-01
Derby Stallion Ii,SNES,Ascii Entertainment,ASCII Entertainment,7.919999999999999,,0.87,1994,Sports,0.0,0.0,0.87,0.0,0.87,1994-01-01
Tom Clancy'S Ghost Recon: Island Thunder,XB,Ubisoft,Red Storm Entertainment,8.4,,0.87,2003,Shooter,0.61,0.24,0.0,0.03,0.87,2003-01-01
Sleeping Dogs,X360,Square Enix,United Front Games,7.9,,0.87,2012,Action,0.38,0.41,0.01,0.08,0.88,2012-01-01
Kingdoms Of Amalur: Reckoning,X360,Electronic Arts,38 Studios,9.0,,0.87,2012,Role-Playing,0.55,0.25,0.01,0.07,0.89,2012-01-01
Lego Dimensions,X360,Warner Bros. Interactive Entertainment,Traveller's Tales,7.26,,0.87,2015,Action,0.24,0.28,0.0,0.05,0.56,2015-01-01
Kingdom Hearts Re: Chain Of Memories,PS2,Square Enix,Jupiter Corporation,7.200000000000001,,0.87,2008,Role-Playing,0.73,0.03,0.0,0.12,0.87,2008-01-01
The Evil Within,PS3,Bethesda Softworks,Tango Gameworks,7.760000000000001,,0.87,2014,Action,0.26,0.39,0.12,0.14,0.92,2014-01-01
Nfl Gameday '97,PS,Sony Computer Entertainment,SCEA,6.58,,0.87,1996,Sports,0.48,0.33,0.0,0.06,0.87,1996-01-01
Tony Hawk'S Project 8,PS2,Activision,Shaba Games,6.6000000000000005,,0.87,2006,Sports,0.72,0.03,0.0,0.12,0.87,2006-01-01
Grid,X360,Codemasters,Codemasters,8.7,,0.87,2008,Racing,0.33,0.44,0.01,0.09,0.88,2008-01-01
Dirt,X360,Codemasters,Codemasters,8.4,,0.87,2007,Racing,0.38,0.4,0.0,0.09,0.87,2007-01-01
Red Faction: Guerrilla,X360,Thq,Volition Inc.,8.4,,0.87,2009,Shooter,0.48,0.29,0.01,0.09,0.87,2009-01-01
Mercenaries 2: World In Flames,PS3,Electronic Arts,Pandemic Studios,6.000000000000001,,0.87,2008,Shooter,0.29,0.4,0.02,0.16,0.87,2008-01-01
Ghostbusters: The Video Game,WII,Atari,Red Fly Studio,7.6,,0.87,2009,Action,0.6,0.21,0.0,0.08,0.88,2009-01-01
Wizards Of Waverly Place,DS,Disney Interactive Studios,"Black Lantern Studios, Inc.",5.000000000000001,,0.87,2009,Misc,0.59,0.2,0.0,0.08,0.87,2009-01-01
Lemmings,PSP,Sony Computer Entertainment,Team17 Software,7.300000000000001,,0.86,2006,Puzzle,0.12,0.52,0.0,0.23,0.87,2006-01-01
Beijing 2008,PS3,Sega,Eurocom Entertainment Software,7.44,,0.86,2008,Sports,0.14,0.54,0.01,0.18,0.87,2008-01-01
Ford Racing,PS,Empire Interactive,2K Games,4.3,,0.86,2001,Racing,0.48,0.33,0.0,0.06,0.86,2001-01-01
Rise Of Nations,PC,Microsoft Game Studios,Big Huge Games,8.8,,0.86,2003,Strategy,0.01,0.02,0.0,0.01,0.04,2003-01-01
Plants Vs. Zombies: Garden Warfare 2,XONE,Electronic Arts,PopCap Games,8.02,,0.86,2016,Shooter,0.26,0.15,0.0,0.04,0.44,2016-01-01
Lego Batman 2: Dc Super Heroes,3DS,Warner Bros. Interactive Entertainment,TT Fusion,5.5,,0.86,2012,Action,0.41,0.27,0.0,0.06,0.74,2012-01-01
Mlb 99,PS,Sony Computer Entertainment,Sony Interactive Studios America,7.14,,0.86,1998,Sports,0.48,0.32,0.0,0.06,0.86,1998-01-01
Guitar Hero: Warriors Of Rock,X360,Activision,Neversoft Entertainment,7.099999999999999,,0.86,2010,Misc,0.47,0.32,0.0,0.08,0.87,2010-01-01
Bayonetta 2,WIIU,Nintendo,PlatinumGames,9.3,8.9,0.86,2014,Action,0.34,0.28,0.1,0.3,1.01,2014-01-01
Gold'S Gym: Dance Workout,WII,Ubisoft,Land Ho!,8.4,,0.86,2010,Sports,0.71,0.11,0.0,0.06,0.87,2010-01-01
Pictionary,WII,Thq,"Page 44 Studios, LLC",7.5,,0.86,2010,Puzzle,0.61,0.19,0.0,0.07,0.87,2010-01-01
Tomb Raider: Anniversary,WII,Eidos Interactive,Crystal Dynamics,6.8,,0.85,2007,Action,0.12,0.63,0.0,0.11,0.86,2007-01-01
Army Men: Air Attack,PS,3Do,3DO,7.100000000000001,,0.85,1999,Action,0.47,0.32,0.0,0.06,0.85,1999-01-01
Kingdoms Of Amalur: Reckoning,PS3,Electronic Arts,38 Studios,9.0,,0.85,2012,Role-Playing,0.37,0.3,0.09,0.11,0.87,2012-01-01
Disney Infinity 3.0,PS4,Disney Interactive Studios,Avalanche Software,7.059999999999999,,0.85,2015,Action,0.21,0.36,0.0,0.11,0.68,2015-01-01
Dragon Ball Z: Burst Limit,PS3,Atari,Dimps Corporation,7.300000000000001,,0.85,2008,Fighting,0.22,0.34,0.18,0.12,0.86,2008-01-01
Army Of Two: The 40Th Day,PS3,Electronic Arts,EA Montreal,7.099999999999999,,0.85,2010,Shooter,0.44,0.27,0.01,0.12,0.85,2010-01-01
Burnout Legends,PSP,Electronic Arts,Criterion Games,8.4,,0.85,2005,Racing,0.7,0.06,0.0,0.09,0.85,2005-01-01
Lego Jurassic World,3DS,Warner Bros. Interactive Entertainment,TT Fusion,7.819999999999999,,0.85,2015,Action,0.31,0.22,0.03,0.05,0.6,2015-01-01
Ratatouille,PS2,Thq,Asobo Studio,6.000000000000001,,0.85,2007,Action,0.31,0.0,0.0,0.53,0.85,2007-01-01
Burnout 2: Point Of Impact,PS2,Acclaim Entertainment,Criterion Games,9.0,,0.85,2002,Racing,0.42,0.32,0.0,0.11,0.85,2002-01-01
The House Of The Dead: Overkill,WII,Sega,Headstrong Games,7.9,,0.85,2009,Shooter,0.46,0.31,0.02,0.09,0.87,2009-01-01
Darksiders Ii,PS3,Thq,Vigil Games,8.3,,0.85,2012,Action,0.35,0.37,0.01,0.14,0.86,2012-01-01
Spider-Man 2,GC,Activision,Treyarch,7.700000000000001,,0.84,2004,Action,0.65,0.17,0.0,0.02,0.84,2004-01-01
Sniper Elite V2,X360,505 Games,Rebellion Developments,6.999999999999999,,0.84,2012,Shooter,0.46,0.29,0.02,0.07,0.85,2012-01-01
Xenoblade Chronicles X,WIIU,Nintendo,Monolith Soft,8.1,9.1,0.84,2015,Role-Playing,0.36,0.28,0.14,0.06,0.84,2015-01-01
