Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Year_as_date
Street Fighter Iv,PS3,Capcom,Capcom / Dimps Corporation,9.3,9.0,4.19,2009,Fighting,2.02,1.06,0.58,0.53,4.19,2009-01-01
Call Of Duty: Ghosts,PS4,Activision,Infinity Ward,7.5,3.8,4.17,2013,Shooter,1.78,1.42,0.05,0.38,3.63,2013-01-01
Frogger,PS,Hasbro Interactive,Millenium Interactive,2.0,,4.16,1997,Action,3.79,0.27,0.0,0.11,4.16,1997-01-01
Star Wars Battlefront (2015),XONE,Electronic Arts,EA DICE,6.900000000000002,,4.15,2015,Shooter,1.94,1.22,0.02,0.31,3.49,2015-01-01
Assassin'S Creed: Unity,PS4,Ubisoft,Ubisoft Montreal,8.56,,4.14,2014,Action,1.18,1.96,0.08,0.7,3.92,2014-01-01
Super Mario World 2: Yoshi'S Island,SNES,Nintendo,Nintendo EAD,9.0,,4.12,1995,Platform,1.65,0.61,1.76,0.09,4.12,1995-01-01
The Sims 4,PC,Electronic Arts,Maxis,6.999999999999999,4.0,4.1,2014,Simulation,0.96,1.72,0.0,0.29,2.97,2014-01-01
Monster Hunter 4,3DS,Capcom,Capcom,7.86,,4.1,2013,Role-Playing,0.0,0.0,3.44,0.0,3.44,2013-01-01
Fallout: New Vegas,X360,Bethesda Softworks,Obsidian Entertainment,8.2,,4.08,2010,Role-Playing,2.65,1.06,0.04,0.33,4.08,2010-01-01
The Legend Of Zelda: A Link Between Worlds,3DS,Nintendo,Nintendo EAD,9.3,9.0,4.07,2013,Action,1.4,0.99,0.46,0.22,3.07,2013-01-01
Far Cry 4,PS4,Ubisoft,Ubisoft Montreal,8.4,7.7,4.06,2014,Shooter,1.12,2.12,0.1,0.69,4.03,2014-01-01
Forza Motorsport 2,X360,Microsoft Game Studios,Turn 10 Studios,9.1,,4.05,2007,Racing,2.35,1.28,0.03,0.41,4.06,2007-01-01
Super Mario Maker,WIIU,Nintendo,Nintendo EAD,8.8,8.7,4.01,2015,Platform,1.18,0.87,0.93,0.2,3.18,2015-01-01
Eyetoy Play,PS2,Sony Computer Entertainment,SCEE London Studio,7.5,,4.0,2003,Misc,0.88,2.3,0.2,0.83,4.2,2003-01-01
Just Dance,WII,Ubisoft,Ubisoft Paris,5.4,,4.0,2009,Misc,3.51,3.03,0.0,0.73,7.27,2009-01-01
Star Fox 64,N64,Nintendo,Nintendo EAD,9.0,,4.0,1997,Shooter,2.78,0.58,0.64,0.04,4.03,1997-01-01
Fallout 3,PS3,Bethesda Softworks,Bethesda Game Studios,8.8,,4.0,2008,Role-Playing,2.15,1.2,0.07,0.59,4.01,2008-01-01
The Elder Scrolls V: Skyrim,PC,Bethesda Softworks,Bethesda Game Studios,9.2,8.2,3.99,2011,Role-Playing,1.15,2.09,0.0,0.64,3.88,2011-01-01
Left 4 Dead 2,X360,Electronic Arts,Certain Affinity / Valve Software,9.0,,3.97,2009,Shooter,2.67,0.89,0.05,0.37,3.99,2009-01-01
Battlefield 4,PS4,Electronic Arts,EA DICE,8.3,7.0,3.94,2013,Shooter,1.34,1.54,0.17,0.38,3.43,2013-01-01
Assassin'S Creed Iv: Black Flag,PS3,Ubisoft,Ubisoft Montreal,8.7,,3.94,2013,Action,1.33,1.71,0.13,0.73,3.89,2013-01-01
English Training: Have Fun Improving Your Skills!,DS,Nintendo,Plato,7.719999999999998,,3.91,2006,Misc,0.0,0.99,2.32,0.02,3.33,2006-01-01
Tony Hawk'S Underground,PS2,Activision,Neversoft Entertainment,8.7,,3.9,2003,Sports,2.29,1.17,0.01,0.42,3.9,2003-01-01
Just Dance 2014,WII,Ubisoft,Ubisoft Paris,7.4,,3.89,2013,Misc,1.98,1.47,0.0,0.32,3.76,2013-01-01
Sports Champions,PS3,Sony Computer Entertainment,SCE San Diego Studio,7.6,,3.88,2010,Sports,2.12,1.14,0.1,0.51,3.87,2010-01-01
